Common,Scientific,Source,Order,Class,Tropical,Trop_Subtrop,Climate,Continent,Lit_confirmed,BLAST,Thiaminase,Confirmed,Thiamine,Thiaminase_activity,Marine,Habitat1,Habitat2,Invasive,Salt,TL_fooditems,MaxTL,MaxAge,Omega3
Alewife,Alosa pseudoharengus,"Tillitt et al. 2005, Greig and Gnaedinger 1971, Boggs et al. 2019, Fitzsimons et al. 2005, Kraft et al. 2014, Zajicek et al. 2005, Lepack et al. 2013, Honeyfield et al. 2010, Nielands 1947, Gnaedinger and Krzeczkowski 1966",Clupeiformes,Actinopteri,0,0,Temperate,North America,1,NA,1,0,15.5,4280,0,OS,PE,1,TL,3.4,40,9,2.67
American Eel,Anguilla rostrata,"Greig and Gnaedinger 1971, Nielands 1947",Aguilliformes,Actinopteri,0,1,Subtropical,Worldwide,1,NA,0,0,191,0.666666667,1,NS,BE,0,TL,3.8,152,43,0.777
Black Crappie,Pomoxis nigromaculatus,"Greig and Gnaedinger 1971, Chaet and Bishop 1952",Centrarchiformes,Actinopteri,0,1,Subtropical,North America,1,NA,0,0,,,0,NS,BP,0,IN,3.8,49,15,0.397
Bloater,Coregonus hoyi,"Tillitt et al. 2005, Greig and Gnaedinger 1971, Zajicek et al. 2005",Salmoniformes,Actinopteri,0,0,Temperate,North America,1,NA,0,0,14.2,35,0,OS,PE,0,IN,3.3,37,11,NA
Bluegill,Lepomis macrochirus,"Riley and Evans 2008, Chaet and Bishop 1952",Centrarchiformes,Actinopteri,0,1,Subtropical,North America,1,NA,0,0,,,0,NS,BP,1,IN,3.2,41,10,0.372
Brown Trout,Salmo trutta,"BLAST, Greig and Gnaedinger 1971",Salmoniformes,Actinopteri,0,1,Temperate,Worldwide,1,1,0,1,,,1,NS,PE,1,TL,3.4,140,38,1.09
Black Bullhead,Ameiurus melas,"BLAST, Greig and Gnaedinger 1971",Siluriformes,Actinopteri,0,0,Temperate,North America,1,1,1,1,,,0,NS,BE,0,IN,3.8,66,10,0.747
Burbot,Lota lota,Greig and Gnaedinger 1971,Gadiformes,Actinopteri,0,0,Temperate,Worldwide,1,NA,1,0,388,,0,OS,BE,0,TL,3.8,152,20,0.666
Central Mudminnow,Umbra limi,Greig and Gnaedinger 1971,Esociformes,Actinopteri,0,0,Temperate,North America,1,NA,1,0,,,0,NS,BE,0,IN,3.7,14,4,NA
Central Stoneroller,Campostoma anomalum,Boggs et al. 2019. Kraft et al. 2014,Cypriniformes ,Actinopteri,0,1,Subtropical,North America,1,NA,1,0,,,0,NS,BP,0,IN,2,22,NA,NA
Channel Catfish,Ictalurus punctatus,"BLAST, Greig and Gnaedinger 1971",Siluriformes,Actinopteri,0,1,Subtropical,North America,1,1,1,1,0,,0,NS,BE,1,IN,4.2,132,24,0.403
Cisco,Coregonus artedi,Greig and Gnaedinger 1971,Salmoniformes,Actinopteri,0,0,Temperate,North America,1,NA,0,0,,,1,OS,PE,0,TL,3.4,57,11,NA
Coho Salmon,Oncorhynchus kisutch,"BLAST, Greig and Gnaedinger 1971",Salmoniformes,Actinopteri,0,1,Temperate,Worldwide,1,1,0,1,,,1,OS,PE,1,TL,4.2,108,5,1.88
Common Carp,Cyprinus carpio,"BLAST, Greig and Gnaedinger 1971, Fujita et al. 1954, Chaet and Bishop 1952, Gaedinger and Krzeczkowski 1966",Cypriniformes ,Actinopteri,0,1,Subtropical,Worldwide,1,1,1,1,114,,0,NS,BP,1,TL,3.1,120,38,0.709
Deepwater Sculpin,Myoxocephalus thompsonii,Tillitt et al. 2005,Perciformes,Actinopteri,0,0,Temperate,North America,1,NA,1,0,16.5,172,0,OS,BE,0,IN,3.2,23,NA,NA
Emerald Shiner,Notropis atherinoides,"Riley and Evans 2008, Chaet and Bishop 1952",Cypriniformes ,Actinopteri,0,0,Temperate,North America,1,NA,1,0,,,0,NS,PE,0,IN,2.8,13,4,NA
Fathead Minnow,Pimephales promelas,"BLAST, Greig and Gnaedinger 1971, Chaet and Bishop 1952",Cypriniformes ,Actinopteri,0,1,Subtropical,North America,1,1,1,1,,,0,NS,BE,0,IN,2.4,10.1,5,NA
Freshwater Drum,Aplodinotus grunniens,Greig and Gnaedinger 1971,Eupercaria,Actinopteri,0,1,Subtropical,North America,1,NA,0,0,,,0,NS,BP,0,TL,3.4,95,13,NA
Longnose Gar,Lepisosteus osseus oxyurus,Greig and Gnaedinger 1971,Lepisosteiformes,Actinopteri,0,1,Subtropical,North America,1,NA,0,0,,,0,NS,BE,0,TL,4.2,200,36,0.532
Gizzard Shad,Dorosoma cepedianum,"Tillitt et al. 2005, Greig and Gnaedinger 1971, Boggs et al. 2019, Lepak et al. 2013, Zajicek et al. 2005, Gnaedinger and Krzeczkowski 1966",Clupeiformes,Actinopteri,0,1,Subtropical,North America,1,NA,1,0,,31800,0,NS,BP,1,TL,2.4,57,10,1.06
Goldfish,Carassius auratus,"BLAST, Greig and Gnaedinger 1971",Cypriniformes ,Actinopteri,0,1,Subtropical,Worldwide,1,1,1,1,,,0,NS,BP,1,TL,2,48,41,NA
Lake Trout,Salvelinus namaycush,"BLAST, Greig and Gnaedinger 1971",Salmoniformes,Actinopteri,0,0,Temperate,North America,1,1,0,1,,,0,OS,BP,0,TL,4.3,150,50,1.07
Lake Whitefish,Coregonus clupeaformis,"BLAST, Greig and Gnaedinger 1971",Salmoniformes,Actinopteri,0,0,Temperate,North America,1,1,0,0,,,0,OS,BP,0,TL,3.2,100,50,1.55
Lamprey,Petromyzon marinus,"BLAST, Greig and Gnaedinger 1971",Petromyzontiformes,Petromyzonti,0,0,Temperate,Worldwide,1,1,0,1,,,1,NS,BE,1,TL,4.4,120,11,0.957
Largemouth Bass,Micropterus salmoides,"BLAST, Greig and Gnaedinger 1971, Boggs et al. 2019, Chaet and Bishop 1952",Centrarchiformes,Actinopteri,0,1,Subtropical,Worldwide,1,1,0,1,1.1,,0,NS,BP,1,IN,3.8,97,23,0.397
Ninespine Stickleback,Pungitius pungitius,"BLAST, Tillitt et al. 2005",Perciformes,Actinopteri,0,0,Boreal,Worldwide,1,1,0,1,25.7,85,0,OS,BP,0,TL,3.3,9,5,NA
Northern Pike,Esox lucius,"BLAST, Greig and Gnaedinger 1971",Esociformes,Actinopteri,0,1,Subtropical,North America,1,1,0,1,,,0,NS,BP,1,TL,4.1,137,30,0.632
Pumpkinseed,Lepomis gibbosus,"Greig and Gnaedinger 1971, Chaet and Bishop 1952",Centrarchiformes,Actinopteri,0,1,Subtropical,North America,1,NA,0,0,,,0,NS,BP,1,IN,3.3,40,12,NA
Rainbow Smelt,Osmerus mordax,"Tillitt et al. 2005, Greig and Gnaedinger 1971, Zajicek et al. 2005, Kraft et al. 2014, Honeyfield et al. 2010, Nielands 1947, Gnaedinger and Krzeczkowski 1966",Osmeriformes,Actinopteri,0,0,Temperate,Worldwide,1,NA,1,0,8.8,2640,0,OS,BE,1,TL,3,35.6,7,1.57
Rainbow Trout,Oncorhynchus mykiss,"BLAST, Greig and Gnaedinger 1971",Salmoniformes,Actinopteri,0,1,Temperate,Worldwide,1,1,0,1,,,0,OS,PE,1,TL,4.1,122,11,1.44
Rock Bass,Ambloplites rupestris,"Greig and Gnaedinger 1971, Chaet and Bishop 1952",Centrarchiformes,Actinopteri,0,1,Subtropical,North America,1,NA,0,0,,,0,NS,BP,0,IN,3.4,43,18,NA
Round Goby,Neogobius melanostomus,"Tillitt et al. 2005, Harder et al. 2010",Gobiiformes,Actinopteri,0,0,Temperate,Eurasia,1,NA,0,0,14.6,18,0,NS,BE,1,TL,3.3,30,6,NA
Round Whitefish,Prosopium cylindraceum,Riley and Evans 2008,Salmoniformes,Actinopteri,0,0,Temperate,Worldwide,1,NA,1,0,,,0,NS,BE,0,TL,3.3,59,16,NA
Sauger,Sander canadensis,Greig and Gnaedinger 1971,Perciformes,Actinopteri,0,1,Subtropical,North America,1,NA,1,0,,,0,NS,BP,0,IN,4.1,76,18,NA
Fourhorn Sculpin,Myoxocephalus quadricornis,Greig and Gnaedinger 1971,Perciformes,Actinopteri,0,0,Polar,North America,1,NA,1,0,,,1,NS,BE,0,TL,3.9,60,14,0.903
