Order,Thiaminase
Albuliformes,absent
Amiiformes,absent
Anabantiformes,absent
Anguilliformes,absent
Aulopiformes,absent
Batrachoidiformes,absent
Carangiformes,absent
Centrarchiformes,absent
Gobiiformes,absent
Holocentriformes,absent
Incertae_sedis_in_Carangaria,absent
Kurtiformes,absent
Labriformes,absent
Lophiiformes,absent
Mugiliformes,absent
Ophidiiformes,absent
Pleuronectiformes,absent
Synbranchiformes,absent
Tetraodontiformes,absent
Acipenseriformes,present
Atheriniformes,present
Beloniformes,present
Characiformes,present
Cichliformes,present
Clupeiformes,present
Cypriniformes,present
Cyprinodontiformes,present
Elopiformes,present
Esociformes,present
Gadiformes,present
Gonorynchiformes,present
Gymnotiformes,present
Incertae_sedis_in_Eupercaria,present
Incertae_sedis_in_Ovalentaria,present
Lepisosteiformes,present
Osmeriformes,present
Osteoglossiformes,present
Perciformes,present
Polypteriformes,present
Salmoniformes,present
Scombriformes,present
Siluriformes,present
Syngnathiformes,present
