Order,Thiaminase
Acanthuriformes,NA
Acipenseriformes,present
Albuliformes,absent
Alepocephaliformes,NA
Amiiformes,absent
Anabantiformes,absent
Anguilliformes,absent
Argentiniformes,NA
Ateleopodiformes,NA
Atheriniformes,present
Aulopiformes,absent
Batrachoidiformes,absent
Beloniformes,present
Beryciformes,NA
Carangiformes,absent
Centrarchiformes,absent
Characiformes,present
Cichliformes,present
Clupeiformes,present
Cypriniformes,present
Cyprinodontiformes,present
Elopiformes,present
Ephippiformes,NA
Esociformes,present
Gadiformes,present
Galaxiiformes,NA
Gobiiformes,absent
Gonorynchiformes,present
Gymnotiformes,present
Hiodontiformes,NA
Holocentriformes,absent
Incertae_sedis_in_Carangaria,absent
Incertae_sedis_in_Eupercaria,present
Incertae_sedis_in_Ovalentaria,present
Istiophoriformes,NA
Kurtiformes,absent
Labriformes,absent
Lampridiformes,NA
Lepidogalaxiiformes,NA
Lepisosteiformes,present
Lophiiformes,absent
Mugiliformes,absent
Myctophiformes,NA
Notacanthiformes,NA
Ophidiiformes,absent
Osmeriformes,present
Osteoglossiformes,present
Pempheriformes,NA
Perciformes,present
Percopsiformes,NA
Pholidichthyiformes,NA
Pleuronectiformes,absent
Polymixiiformes,NA
Polypteriformes,present
Salmoniformes,present
Scombriformes,present
Siluriformes,present
Spariformes,NA
Stomiatiformes,NA
Stylephoriformes,NA
Synbranchiformes,absent
Syngnathiformes,present
Tetraodontiformes,absent
Uranoscopiformes,NA
Zeiformes,NA
