Common,Scientific,Source,Family,Order,Class,Tropical,Climate,Continent,Lit_confirmed,BLAST,Thiaminase,Marine,Habitat,Benthic,Benthopelagic,Pelagic,Invasive,Salt,TL_fooditems,MaxTL,MaxAge,Omega3,Habitat2,Benthic,Benthopelagic,Pelagic,Invasive,Salt,TL_fooditems,MaxTL,MaxAge,Omega3
Freshwater Bream,Abramis brama,"Chaet and Bishop 1952, Arsan 1970",Leuciscidae,Cypriniformes ,Actinopteri,0,Temperate,Eurasia,1,NA,1,0,BP,0,1,0,0,TL,3.1,82,23,1.24,PE,0,0,1,1,TL,3.4,40,9,2.67
Spiny Chromis,Acanthochromis polyacanthus,BLAST,Pomacentridae,Ovalentaria,Actinopteri,1,Tropical,Indo-Pacific,0,1,0,1,BE,1,0,0,0,TL,2.7,14,NA,0.135,BE,1,0,0,0,TL,3.8,152,43,0.777
Yellowfin Goby,Acanthogobius flavimanus,Fujita 1954,Gobiidae,Gobiiformes,Actinopteri,0,Temperate,Asia,1,NA,1,1,BE,1,0,0,0,TL,3.4,30,NA,NA,BP,0,1,0,0,IN,3.8,49,15,0.397
Yellowfin Seabream,Acanthopagrus latus,BLAST,Sparidae,Eupercaria,Actinopteri,0,Subtropical,Indo-Pacific,0,1,0,1,BE,1,0,0,0,TL,3.8,40,NA,0.747,PE,0,0,1,0,IN,3.3,37,11,NA
Sterlet Sturgeon,Acipenser ruthenus,BLAST,Acipenseridae,Acipenseriformes,Actinopteri,0,Temperate,Eurasia,0,1,0,0,BE,1,0,0,0,TL,3.6,125,20,0.808,BP,0,1,0,1,IN,3.2,41,10,0.372
Roundjaw Bonefish,Albula glossodonta,BLAST,Albulidae,Albuliformes,Actinopteri,1,Tropical,Indo-Pacific,0,1,0,1,BE,1,0,0,0,TL,3.3,90,NA,0.0927,PE,0,0,1,1,TL,3.4,140,38,1.09
Allis Shad,Alosa alosa,BLAST,Clupeidae,Clupeiformes,Actinopteri,0,Temperate,Europe,0,1,1,1,PE,0,0,1,0,TL,3,69,10,2.4,BE,1,0,0,0,IN,3.8,66,10,0.747
Hickory Shad,Alosa mediocris,Kraft et al. 2014,Clupeidae,Clupeiformes,Actinopteri,0,Temperate,North America,1,NA,1,1,PE,0,0,1,0,TL,4.1,60,NA,2.9,BE,1,0,0,0,TL,3.8,152,20,0.666
Alewife,Alosa pseudoharengus,"Tillitt et al. 2005, Greig and Gnaedinger 1971, Boggs et al. 2019, Fitzsimons et al. 2005, Kraft et al. 2014, Zajicek et al. 2005, Lepack et al. 2013, Honeyfield et al. 2010, Nielands 1947, Gnaedinger and Krzeczkowski 1966",Clupeidae,Clupeiformes,Actinopteri,0,Temperate,North America,1,NA,1,0,PE,0,0,1,1,TL,3.4,40,9,2.67,BE,1,0,0,0,IN,3.7,14,4,NA
American Shad,Alosa sapidissima,"BLAST, Wetzel et al. 2011",Clupeidae,Clupeiformes,Actinopteri,0,Subtropical,North America,1,1,1,1,PE,0,0,1,0,TL,3.5,76,13,1.52,BP,0,1,0,0,IN,2,22,NA,NA
Rock Bass,Ambloplites rupestris,"Greig and Gnaedinger 1971, Chaet and Bishop 1952",Centrarchidae,Centrarchiformes,Actinopteri,0,Subtropical,North America,1,NA,0,0,BP,0,1,0,0,IN,3.4,43,18,NA,BE,1,0,0,1,IN,4.2,132,24,0.403
Starry Ray,Amblyraja radiata,BLAST,Rajidae,Rajiformes,Actinopteri,0,Boreal,Worldwide,0,1,0,1,BE,1,0,0,0,TL,4.2,105,28,0.927,PE,0,0,1,0,TL,3.4,57,11,NA
Black Bullhead,Ameiurus melas,"BLAST, Greig and Gnaedinger 1971",Ictaluridae,Siluriformes,Actinopteri,0,Temperate,North America,1,1,1,0,BE,1,0,0,0,IN,3.8,66,10,0.747,PE,0,0,1,1,TL,4.2,108,5,1.88
Brown Bullhead,Ameiurus nebulosus,Nielands 1947,Ictaluridae,Siluriformes,Actinopteri,0,Subtropical,North America,1,NA,1,0,BE,1,0,0,1,IN,3.7,55,9,NA,BP,0,1,0,1,TL,3.1,120,38,0.709
Bowfin,Amia calva,"Greig and Gnaedinger 1971, Gnaedinger and Krzeczkowski 1966",Amiidae,Amiiformes,Actinopteri,0,Subtropical,North America,1,NA,NA,0,BE,1,0,0,0,IN,3.8,109,30,NA,BE,1,0,0,0,IN,3.2,23,NA,NA
Clown Anemonefish,Amphiprion ocellaris,BLAST,Pomacentridae,Ovalentaria,Actinopteri,1,Tropical,Indo-Pacific,0,1,0,1,BE,1,0,0,0,TL,3.1,11,NA,0.173,PE,0,0,1,0,IN,2.8,13,4,NA
Kanglang Fish,Anabarilius grahami,BLAST,Xenocyprididae,Cypriniformes ,Actinopteri,0,Subtropical,Asia,0,1,1,1,BP,0,1,0,0,IN,3.2,15.6,NA,NA,BE,1,0,0,0,IN,2.4,10.1,5,NA
Climbing Perch,Anabas testudineus,BLAST,Anabantidae,Anabantiformes,Actinopteri,1,Tropical,Asia,0,1,0,0,BE,1,0,0,0,TL,3,25,NA,0.388,BP,0,1,0,0,TL,3.4,95,13,NA
Atlantic Wolffish,Anarhichas lupus,Nielands 1947,Anarhichadidae,Perciformes,Actinopteri,0,Temperate,Worldwide,1,NA,0,1,BE,1,0,0,0,TL,3.6,150,NA,0.352,BE,1,0,0,0,TL,4.2,200,36,0.532
Wolf-eel,Anarrhichthys ocellatus,BLAST,Anarhichadidae,Perciformes,Actinopteri,0,Temperate,Worldwide,0,1,0,1,BE,1,0,0,0,TL,3.5,240,NA,0.32,BP,0,1,0,1,TL,2.4,57,10,1.06
