year,SampleID,thiaminase,common,species,stage,area,haul,station
2020,20-NAnchov-1A,121.7,Northern Anchovy,Engraulis mordax,Adult,Monterey Bay,,
2020,20-NAnchov-1B,64.6,Northern Anchovy,Engraulis mordax,Adult,Monterey Bay,,
2020,20-NAnchov-1C,18.1,Northern Anchovy,Engraulis mordax,Adult,Monterey Bay,,
2020,20-NAnchov-1D,37.3,Northern Anchovy,Engraulis mordax,Adult,Monterey Bay,,
2020,20-NAnchov-1E,19.0,Northern Anchovy,Engraulis mordax,Adult,Monterey Bay,,
2020,20-NAnchov-1F,130.4,Northern Anchovy,Engraulis mordax,Adult,Monterey Bay,,
2020,20-NAnchov-1G,17.0,Northern Anchovy,Engraulis mordax,Adult,Monterey Bay,,
2020,20-NAnchov-1H,20.9,Northern Anchovy,Engraulis mordax,Adult,Monterey Bay,,
2020,20-NAnchov-1I,68.1,Northern Anchovy,Engraulis mordax,Adult,Monterey Bay,,
2020,20-NAnchov-2A,29.4,Northern Anchovy,Engraulis mordax,Adult,Monterey Bay,,
2020,20-NAnchov-2B,122.8,Northern Anchovy,Engraulis mordax,Adult,Monterey Bay,,
2020,20-NAnchov-2C,141.6,Northern Anchovy,Engraulis mordax,Adult,Santa Cruz,,
2020,20-NAnchov-2D,21.1,Northern Anchovy,Engraulis mordax,Adult,Santa Cruz,,
2020,20-NAnchov-2E,33.9,Northern Anchovy,Engraulis mordax,Adult,Santa Cruz,,
2020,20-NAnchov-2F,64.7,Northern Anchovy,Engraulis mordax,Adult,Santa Cruz,,
2020,20-NAnchov-2G,49.9,Northern Anchovy,Engraulis mordax,Adult,Santa Cruz,,
2020,20-NAnchov-2H,30.0,Northern Anchovy,Engraulis mordax,Adult,Santa Cruz,,
2020,20-NAnchov-2I,87.7,Northern Anchovy,Engraulis mordax,Adult,Santa Cruz,,
2020,20-NAnchov-2J,35.7,Northern Anchovy,Engraulis mordax,Adult,Santa Cruz,,
2020,20-NAnchov-2K,117.5,Northern Anchovy,Engraulis mordax,Adult,Santa Cruz,,
2020,20-NAnchov-2L,36.2,Northern Anchovy,Engraulis mordax,Adult,Santa Cruz,,
2021,21-ANCH-1A,41.7,Northern Anchovy,Engraulis mordax,Adult,Monterey Area,10,114
2021,21-ANCH-1B,30.0,Northern Anchovy,Engraulis mordax,Adult,Monterey Area,10,114
2021,21-ANCH-1C,65.4,Northern Anchovy,Engraulis mordax,Adult,Monterey Area,10,114
2021,21-ANCH-1D,14.5,Northern Anchovy,Engraulis mordax,Adult,Monterey Area,10,114
2021,21-ANCH-1E,15.9,Northern Anchovy,Engraulis mordax,Adult,Monterey Area,10,114
2021,21-ANCH-2A,44.0,Northern Anchovy,Engraulis mordax,Adult,Monterey Area,12,116
2021,21-ANCH-2B,17.5,Northern Anchovy,Engraulis mordax,Adult,Monterey Area,12,116
2021,21-ANCH-2C,16.5,Northern Anchovy,Engraulis mordax,Adult,Monterey Area,12,116
2021,21-ANCH-2D,14.4,Northern Anchovy,Engraulis mordax,Adult,Monterey Area,12,116
2021,21-ANCH-2E,6.5,Northern Anchovy,Engraulis mordax,Adult,Monterey Area,12,116
2021,21-ANCH-3A,0.0,Northern Anchovy,Engraulis mordax,Adult,Monterey Area,16,113
2021,21-ANCH-3B,43.7,Northern Anchovy,Engraulis mordax,Adult,Monterey Area,16,113
2021,21-ANCH-3C,76.2,Northern Anchovy,Engraulis mordax,Adult,Monterey Area,16,113
2021,21-ANCH-3D,60.2,Northern Anchovy,Engraulis mordax,Adult,Monterey Area,16,113
2021,21-ANCH-3E,41.6,Northern Anchovy,Engraulis mordax,Adult,Monterey Area,16,113
2021,21-ANCH-4A,29.2,Northern Anchovy,Engraulis mordax,Adult,Monterey Area,19,211
2021,21-ANCH-4B,12.9,Northern Anchovy,Engraulis mordax,Adult,Monterey Area,19,211
2021,21-ANCH-4C,37.5,Northern Anchovy,Engraulis mordax,Adult,Monterey Area,19,211
2021,21-ANCH-4D,15.4,Northern Anchovy,Engraulis mordax,Adult,Monterey Area,19,211
2021,21-ANCH-4E,36.2,Northern Anchovy,Engraulis mordax,Adult,Monterey Area,19,211
2021,21-ANCH-5A,66.6,Northern Anchovy,Engraulis mordax,Adult,Monterey Area,22,124
2021,21-ANCH-5B,15.7,Northern Anchovy,Engraulis mordax,Adult,Monterey Area,22,124
2021,21-ANCH-5C,36.4,Northern Anchovy,Engraulis mordax,Adult,Monterey Area,22,124
2021,21-ANCH-5D,143.7,Northern Anchovy,Engraulis mordax,Adult,Monterey Area,22,124
2021,21-ANCH-5E,37.6,Northern Anchovy,Engraulis mordax,Adult,Monterey Area,22,124
2021,21-ANCH-6A,71.3,Northern Anchovy,Engraulis mordax,Adult,Point Sur,29,105
2021,21-ANCH-6B,61.0,Northern Anchovy,Engraulis mordax,Adult,Point Sur,29,105
2021,21-ANCH-6C,14.1,Northern Anchovy,Engraulis mordax,Adult,Point Sur,29,105
2021,21-ANCH-6D,94.5,Northern Anchovy,Engraulis mordax,Adult,Point Sur,29,105
2021,21-ANCH-6E,166.1,Northern Anchovy,Engraulis mordax,Adult,Point Sur,29,105
2021,21-ANCH-7A,26.6,Northern Anchovy,Engraulis mordax,Adult,Point Sur,29,105
2021,21-ANCH-7B,38.4,Northern Anchovy,Engraulis mordax,Adult,Point Sur,29,105
2021,21-ANCH-7C,37.0,Northern Anchovy,Engraulis mordax,Adult,Point Sur,29,105
2021,21-ANCH-7D,32.6,Northern Anchovy,Engraulis mordax,Adult,Point Sur,29,105
2021,21-ANCH-7E,45.4,Northern Anchovy,Engraulis mordax,Adult,Point Sur,29,105
2021,21-ANCH-8A,38.3,Northern Anchovy,Engraulis mordax,Adult,Southern California Bight,37,484
2021,21-ANCH-8B,3.5,Northern Anchovy,Engraulis mordax,Adult,Southern California Bight,37,484
2021,21-ANCH-8C,13.2,Northern Anchovy,Engraulis mordax,Adult,Southern California Bight,37,484
2021,21-ANCH-8D,36.1,Northern Anchovy,Engraulis mordax,Adult,Southern California Bight,37,484
2021,21-ANCH-8E,17.9,Northern Anchovy,Engraulis mordax,Adult,Southern California Bight,37,484
2021,21-ANCH-9A,33.4,Northern Anchovy,Engraulis mordax,Adult,Southern California Bight,37,484
2021,21-ANCH-9B,135.4,Northern Anchovy,Engraulis mordax,Adult,Southern California Bight,37,484
2021,21-ANCH-9C,7.3,Northern Anchovy,Engraulis mordax,Adult,Southern California Bight,37,484
2021,21-ANCH-9D,156.6,Northern Anchovy,Engraulis mordax,Adult,Southern California Bight,37,484
2021,21-ANCH-9E,23.3,Northern Anchovy,Engraulis mordax,Adult,Southern California Bight,37,484
