sampleID,thiaminase,common,species,area,haul,station
21-ANCH-1A,41.7,Northern Anchovy,Engraulis mordax,Monterey Area,10,114
21-ANCH-1B,30,Northern Anchovy,Engraulis mordax,Monterey Area,10,114
21-ANCH-1C,65.4,Northern Anchovy,Engraulis mordax,Monterey Area,10,114
21-ANCH-1D,14.5,Northern Anchovy,Engraulis mordax,Monterey Area,10,114
21-ANCH-1E,15.9,Northern Anchovy,Engraulis mordax,Monterey Area,10,114
21-ANCH-2A,44,Northern Anchovy,Engraulis mordax,Monterey Area,12,116
21-ANCH-2B,17.5,Northern Anchovy,Engraulis mordax,Monterey Area,12,116
21-ANCH-2C,16.5,Northern Anchovy,Engraulis mordax,Monterey Area,12,116
21-ANCH-2D,14.4,Northern Anchovy,Engraulis mordax,Monterey Area,12,116
21-ANCH-2E,6.5,Northern Anchovy,Engraulis mordax,Monterey Area,12,116
21-ANCH-3A,NA,Northern Anchovy,Engraulis mordax,Monterey Area,16,113
21-ANCH-3B,43.7,Northern Anchovy,Engraulis mordax,Monterey Area,16,113
21-ANCH-3C,76.2,Northern Anchovy,Engraulis mordax,Monterey Area,16,113
21-ANCH-3D,60.2,Northern Anchovy,Engraulis mordax,Monterey Area,16,113
21-ANCH-3E,41.6,Northern Anchovy,Engraulis mordax,Monterey Area,16,113
21-ANCH-4A,29.2,Northern Anchovy,Engraulis mordax,Monterey Area,19,211
21-ANCH-4B,12.9,Northern Anchovy,Engraulis mordax,Monterey Area,19,211
21-ANCH-4C,37.5,Northern Anchovy,Engraulis mordax,Monterey Area,19,211
21-ANCH-4D,15.4,Northern Anchovy,Engraulis mordax,Monterey Area,19,211
21-ANCH-4E,36.2,Northern Anchovy,Engraulis mordax,Monterey Area,19,211
21-ANCH-5A,66.6,Northern Anchovy,Engraulis mordax,Monterey Area,22,124
21-ANCH-5B,15.7,Northern Anchovy,Engraulis mordax,Monterey Area,22,124
21-ANCH-5C,36.4,Northern Anchovy,Engraulis mordax,Monterey Area,22,124
21-ANCH-5D,143.7,Northern Anchovy,Engraulis mordax,Monterey Area,22,124
21-ANCH-5E,37.6,Northern Anchovy,Engraulis mordax,Monterey Area,22,124
21-ANCH-6A,71.3,Northern Anchovy,Engraulis mordax,Point Sur,29,105
21-ANCH-6B,61,Northern Anchovy,Engraulis mordax,Point Sur,29,105
21-ANCH-6C,14.1,Northern Anchovy,Engraulis mordax,Point Sur,29,105
21-ANCH-6D,94.5,Northern Anchovy,Engraulis mordax,Point Sur,29,105
21-ANCH-6E,166.1,Northern Anchovy,Engraulis mordax,Point Sur,29,105
21-ANCH-7A,26.6,Northern Anchovy,Engraulis mordax,Point Sur,29,105
21-ANCH-7B,38.4,Northern Anchovy,Engraulis mordax,Point Sur,29,105
21-ANCH-7C,37,Northern Anchovy,Engraulis mordax,Point Sur,29,105
21-ANCH-7D,32.6,Northern Anchovy,Engraulis mordax,Point Sur,29,105
21-ANCH-7E,45.4,Northern Anchovy,Engraulis mordax,Point Sur,29,105
21-ANCH-8A,38.3,Northern Anchovy,Engraulis mordax,Southern California Bight,37,484
21-ANCH-8B,3.5,Northern Anchovy,Engraulis mordax,Southern California Bight,37,484
21-ANCH-8C,13.2,Northern Anchovy,Engraulis mordax,Southern California Bight,37,484
21-ANCH-8D,36.1,Northern Anchovy,Engraulis mordax,Southern California Bight,37,484
21-ANCH-8E,17.9,Northern Anchovy,Engraulis mordax,Southern California Bight,37,484
21-ANCH-9A,33.4,Northern Anchovy,Engraulis mordax,Southern California Bight,37,484
21-ANCH-9B,135.4,Northern Anchovy,Engraulis mordax,Southern California Bight,37,484
21-ANCH-9C,7.3,Northern Anchovy,Engraulis mordax,Southern California Bight,37,484
21-ANCH-9D,156.6,Northern Anchovy,Engraulis mordax,Southern California Bight,37,484
21-ANCH-9E,23.3,Northern Anchovy,Engraulis mordax,Southern California Bight,37,484
21-ANCH-10A,3.5,YOY Anchovy,Engraulis mordax,Southern California Bight,37,484
21-ANCH-10B,10.8,YOY Anchovy,Engraulis mordax,Southern California Bight,37,484
21-ANCH-10C,18.7,YOY Anchovy,Engraulis mordax,Southern California Bight,37,484
21-ANCH-10D,59.6,YOY Anchovy,Engraulis mordax,Southern California Bight,37,484
21-ANCH-11A,33.1,YOY Anchovy,Engraulis mordax,Southern California Bight,40,401
21-ANCH-12A,60.9,Northern Anchovy,Engraulis mordax,Gulf of the Farallones region,57,135
21-ANCH-12B,24.8,Northern Anchovy,Engraulis mordax,Gulf of the Farallones region,57,135
21-ANCH-12C,97.4,Northern Anchovy,Engraulis mordax,Gulf of the Farallones region,57,135
21-ANCH-12D,83.5,Northern Anchovy,Engraulis mordax,Gulf of the Farallones region,57,135
21-ANCH-12E,18.2,Northern Anchovy,Engraulis mordax,Gulf of the Farallones region,57,135
21-ANCH-13A,31.2,Northern Anchovy,Engraulis mordax,Gulf of the Farallones region,57,135
21-ANCH-13B,4.4,Northern Anchovy,Engraulis mordax,Gulf of the Farallones region,57,135
21-ANCH-13C,6.1,Northern Anchovy,Engraulis mordax,Gulf of the Farallones region,57,135
21-ANCH-13D,46.2,Northern Anchovy,Engraulis mordax,Gulf of the Farallones region,57,135
21-ANCH-14A,11.7,Northern Anchovy,Engraulis mordax,Navarro Area,63,174
21-ANCH-14B,31.3,Northern Anchovy,Engraulis mordax,Navarro Area,63,174
21-ANCH-14C,89.4,Northern Anchovy,Engraulis mordax,Navarro Area,63,174
21-ANCH-14D,16.2,Northern Anchovy,Engraulis mordax,Navarro Area,63,174
21-ANCH-15A,44.7,YOY Anchovy,Engraulis mordax,Gulf of the Farallones region,55,133
21-ANCH-15B,53,YOY Anchovy,Engraulis mordax,Gulf of the Farallones region,55,133
21-ANCH-15C,11.9,YOY Anchovy,Engraulis mordax,Gulf of the Farallones region,55,133
21-ANCH-15D,92.7,YOY Anchovy,Engraulis mordax,Gulf of the Farallones region,55,133
21-ANCH-15E,17.1,YOY Anchovy,Engraulis mordax,Gulf of the Farallones region,55,133
21-ANCH-16A,25.1,YOY Anchovy,Engraulis mordax,Gulf of the Farallones region,57,135
21-ANCH-16B,50,YOY Anchovy,Engraulis mordax,Gulf of the Farallones region,57,135
21-ANCH-16C,165.6,YOY Anchovy,Engraulis mordax,Gulf of the Farallones region,57,135
21-ANCH-16D,70.6,YOY Anchovy,Engraulis mordax,Gulf of the Farallones region,57,135
21-ANCH-16E,28,YOY Anchovy,Engraulis mordax,Gulf of the Farallones region,57,135
21-SQUID-1A,NA,Market Squid,Doryteuthis opalescens,Monterey Area,10,114
21-SQUID-1B,2.5,Market Squid,Doryteuthis opalescens,Monterey Area,10,114
21-SQUID-1C,NA,Market Squid,Doryteuthis opalescens,Monterey Area,10,114
21-SQUID-1D,3.4,Market Squid,Doryteuthis opalescens,Monterey Area,10,114
21-SQUID-1E,NA,Market Squid,Doryteuthis opalescens,Monterey Area,10,114
21-SQUID-2A,NA,Market Squid,Doryteuthis opalescens,Monterey Area,16,113
21-SQUID-2B,9.4,Market Squid,Doryteuthis opalescens,Monterey Area,16,113
21-SQUID-2C,4.1,Market Squid,Doryteuthis opalescens,Monterey Area,16,113
21-SQUID-2D,NA,Market Squid,Doryteuthis opalescens,Monterey Area,16,113
21-SQUID-2E,2.7,Market Squid,Doryteuthis opalescens,Monterey Area,16,113
21-SQUID-3A,NA,Market Squid,Doryteuthis opalescens,Point Sur,29,105
21-SQUID-3B,NA,Market Squid,Doryteuthis opalescens,Point Sur,29,105
21-SQUID-3C,2.1,Market Squid,Doryteuthis opalescens,Point Sur,29,105
21-SQUID-3D,4.7,Market Squid,Doryteuthis opalescens,Point Sur,29,105
21-SQUID-3E,NA,Market Squid,Doryteuthis opalescens,Point Sur,29,105
21-SQUID-4A,NA,Market Squid,Doryteuthis opalescens,Southern California Bight,37,484
21-SQUID-4B,6.3,Market Squid,Doryteuthis opalescens,Southern California Bight,37,484
21-SQUID-4C,4.4,Market Squid,Doryteuthis opalescens,Southern California Bight,37,484
21-SQUID-4D,NA,Market Squid,Doryteuthis opalescens,Southern California Bight,37,484
21-SQUID-4E,5.2,Market Squid,Doryteuthis opalescens,Southern California Bight,37,484
21-SQUID-5A,NA,Market Squid,Doryteuthis opalescens,Navarro Area,60,176
21-SQUID-5B,2.5,Market Squid,Doryteuthis opalescens,Navarro Area,60,176
21-SQUID-5C,NA,Market Squid,Doryteuthis opalescens,Navarro Area,60,176
21-SQUID-5D,NA,Market Squid,Doryteuthis opalescens,Navarro Area,60,176
21-SQUID-5E,NA,Market Squid,Doryteuthis opalescens,Navarro Area,60,176
21-SQUID-6A,2.6,Market Squid,Doryteuthis opalescens,Gulf of the Farallones region,9,138
21-SQUID-6B,NA,Market Squid,Doryteuthis opalescens,Gulf of the Farallones region,9,138
21-SQUID-6C,NA,Market Squid,Doryteuthis opalescens,Gulf of the Farallones region,9,138
21-SQUID-6D,16.7,Market Squid,Doryteuthis opalescens,Gulf of the Farallones region,9,138
