Number,Name,InData,Thiaminase,Order
1512,Chaetodontidae_Chelmon_rostratus_G01248,1,absent,Acanthuriformes
14,Polyodontidae_Polyodon_spathula_G01445,1,present,Acipenseriformes
26,Albulidae_Albula_glossodonta_G01192,1,absent,Albuliformes
1066,Anabantidae_Ctenopoma_acutirostre_kingsleyae_E01141,1,absent,Anabantiformes
34,Anguillidae_Anguilla_rostrata_G01202,1,present,Anguilliformes
746,Atherinopsidae_Membras_martinica_E00170,1,present,Atheriniformes
514,Synodontidae_Synodus_variegatus_M31058,1,absent,Aulopiformes 
1957,Batrachoididae_Porichthys_plectrodon_E00590,1,absent,Batrachoidiformes
730,Adrianichthyidae_Oryzias_latipes_G01408,1,present,Beloniformes
866,Blenniidae_Ecsenius_midas_E00934,1,absent,Blenniiformes
1036,Toxotidae_Toxotes_chatareus_E01139,1,absent,Carangaria
1010,Carangidae_Oligoplites_saurus_E00195,1,absent,Carangiformes
1087,Centrarchidae_Lepomis_cyanellus_E00132,1,absent,Centrarchiformes
5,Protopteridae_Protopterus_aethiopicus_annectens_G01451,1,absent,Ceratodontiformes
366,Characidae_Brachychalcinus_orbicularis_P1_A01_RG59,1,present,Characiformes
2,Callorhinchidae_Callorhinchus_milii_G01235,1,absent,Chimaeriformes
690,Cichlidae_Paretroplus_maculatus_G01423,1,present,Cichliformes
59,Clupeidae_Alosa_pseudoharengus_G01195,1,present,Clupeiformes
3,Latimeriidae_Latimeria_chalumnae_G01347,1,absent,Coelacanthiformes
79,Catostomidae_Ictiobus_niger_I2706-187,1,present,Cypriniformes 
737,Cyprinodontidae_Floridichthys_carpio_E01063,1,present,Cyprinodontiformes
24,Megalopidae_Megalops_atlanticus_G01372,1,present,Elopiformes
462,Umbridae_Umbra_limi_E00086,1,present,Esociformes
1624,Moronidae_Dicentrarchus_labrax_E01132,1,present,Eupercaria
631,Lotidae_Lota_lota_E00489,1,present,Gadiformes
832,Gobiesocidae_Arcos_sp_E00102,1,absent,Gobiesociformes
1732,Eleotridae_Dormitator_maculatus_E00169,1,present,Gobiiformes
74,Chanidae_Chanos_chanos_E00345,1,present,Gonorynchiformes
253,Gymnotidae_Electrophorus_electricus_P1_E08_RG04,1,present,Gymnotiformes
667,Holocentridae_Ostichthys_trachypoma_E00161,1,absent,Holocentriformes
1711,Apogonidae_Pseudamia_gelatinosa_E00568,1,absent,Kurtiformes
19,Lepisosteidae_Atractosteus_spatula_G01214,1,present,Lepisosteiformes
1395,Lophiidae_Lophius_gastrophysus_E01119,1,absent,Lophiiformes
817,Mugilidae_Mugil_cephalus_E00049,1,absent,Mugiliformes
1966,Bythitidae_Brosmophyciops_pautzkei_E00717,1,absent,Ophidiiformes
472,Osmeridae_Osmerus_mordax_G01409,1,present,Osmeriformes
47,Mormyridae_Gnathonemus_petersii_G01301,1,present,Osteoglossiformes
905,Ambassidae_Parambassis_ranga_N01735,1,present,Ovalentaria
